"source","target","key","type","confidence","source_row"
"SPE000001","SPE000002","SPE000002-delivered","delivered",1.0,0
"SPE000001","TOP000001","SPE000002-TOP000001-covers","covers",1.0000001787033095,0
"SPE000001","TOP000002","SPE000002-TOP000002-covers","covers",1.000000155071596,0
"SPE000001","TOP000003","SPE000002-TOP000003-covers","covers",1.0000001521002504,0
"SPE000001","SPE000007","SPE000007-delivered","delivered",1.0,3
"SPE000001","TOP000010","SPE000007-TOP000010-covers","covers",1.0000001756395354,3
"SPE000001","TOP000011","SPE000007-TOP000011-covers","covers",1.0000001653896484,3
"SPE000001","TOP000012","SPE000007-TOP000012-covers","covers",1.0000001572930466,3
"SPE000001","TOP000012","SPE000306-TOP000012-covers","covers",1.0000001572930466,301
"SPE000001","SPE000011","SPE000011-delivered","delivered",1.0,6
"SPE000001","TOP000019","SPE000011-TOP000019-covers","covers",1.0000001836938657,6
"SPE000001","TOP000019","SPE000211-TOP000019-covers","covers",1.000000187335338,206
"SPE000001","TOP000019","SPE000582-TOP000019-covers","covers",1.000000187335338,579
"SPE000001","TOP000020","SPE000011-TOP000020-covers","covers",1.0000001722674352,6
"SPE000001","TOP000021","SPE000011-TOP000021-covers","covers",1.0000001597628045,6
"SPE000001","SPE000014","SPE000014-delivered","delivered",1.0,8
"SPE000001","TOP000024","SPE000014-TOP000024-covers","covers",1.000000186590153,8
"SPE000001","TOP000024","SPE000253-TOP000024-covers","covers",1.000000186590153,247
"SPE000001","TOP000024","SPE000449-TOP000024-covers","covers",1.000000186590153,445
"SPE000001","TOP000025","SPE000014-TOP000025-covers","covers",1.0000001617235408,8
"SPE000001","TOP000026","SPE000014-TOP000026-covers","covers",1.000000158217561,8
"SPE000001","SPE000018","SPE000018-delivered","delivered",1.0,11
"SPE000001","TOP000032","SPE000018-TOP000032-covers","covers",1.0000001662489248,11
"SPE000001","TOP000033","SPE000018-TOP000033-covers","covers",1.0000001602014288,11
"SPE000001","TOP000034","SPE000018-TOP000034-covers","covers",1.0000001495239472,11
"SPE000001","SPE000019","SPE000019-delivered","delivered",1.0,12
