"id","type","label","source","title","subtitle","text_excerpt","source_row","confidence","aliases","mentions","iso"
"SPE000001","Speaker","Christine Lagarde","csv","","","","","","","",""
"SPE000002","Speech","0:Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence","","Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence","by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at the official dinner given by the Banca d’Italia in Florence, Italy","Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence Speech by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at the official dinner given by the Banca d’Italia in Florence, Italy Florence, 29 October 2025 It is a pleasure to be here in Florence. It is always difficult to give remarks after Fabio, who is a very e",0.0,"","","",""
"TOP000001","Topic","the Palazzo Vecchio","","","","","",1.0000001787033095,"['the Palazzo Vecchio']",1.0,""
"TOP000002","Topic","our governance","","","","","",1.000000155071596,"['our governance']",1.0,""
"TOP000003","Topic","Now it is time for Europe to learn from them","","","","","",1.0000001521002504,"['Now it is time for Europe to learn from them']",1.0,""
"DAT000001","Date","2025-10-29","","","","","","","","","2025-10-29"
"SPE000003","Speaker","Frank Elderson","csv","","","","","","","",""
"SPE000004","Speech","1:Making supervision simpler: the role of supervisory guides","","Making supervision simpler: the role of supervisory guides","Keynote speech by Frank Elderson, Member of the Executive Board of the EUROPEAN CENTRAL BANK and Vice-Chair of the Supervisory Board of the EUROPEAN CENTRAL BANK, at the EUROPEAN CENTRAL BANK and EUI Banking Governance High-Level Seminar “Board of the Future”","Making supervision simpler: the role of supervisory guides Keynote speech by Frank Elderson, Member of the Executive Board of the EUROPEAN CENTRAL BANK and Vice-Chair of the Supervisory Board of the EUROPEAN CENTRAL BANK, at the EUROPEAN CENTRAL BANK and EUI Banking Governance High-Level Seminar “Board of the Future” Florence, 27 October 2025 It is a great pleasure to be with you here in Florence.",1.0,"","","",""
"TOP000004","Topic","supervisory expectations","","","","","",1.0,"['supervisory expectations', 'supervisory expectations 10']",5.0,""
"TOP000005","Topic","Europe 3","","","","","",1.0,"['Europe 3']",4.0,""
"TOP000006","Topic","Santa Croce","","","","","",1.0000001558516964,"['Santa Croce']",1.0,""
"DAT000002","Date","2025-10-27","","","","","","","","","2025-10-27"
"SPE000005","Speaker","Philip R. Lane","csv","","","","","","","",""
"SPE000006","Speech","2:Acceptance speech 2025 Pádraig Ó hUiginn Award","","Acceptance speech 2025 Pádraig Ó hUiginn Award","Remarks by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, on the occasion of the conferral of the 2025 Pádraig Ó hUiginn Award","Acceptance speech 2025 Pádraig Ó hUiginn Award Remarks by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, on the occasion of the conferral of the 2025 Pádraig Ó hUiginn Award Dublin, 23 October 2025 It is an honour to receive the Pádraig Ó hUiginn Award. Pádraig Ó hUiginn and the previous recipients of this award (John Bruton, Catherine Day and Michael Noonan) have all ",2.0,"","","",""
"TOP000007","Topic","the control","","","","","",1.0,"['the control']",29.0,""
"TOP000008","Topic","The euro area bond market","","","","","",1.0000001621220098,"['The euro area bond market']",1.0,""
"TOP000009","Topic","keynote speech","","","","","",1.0,"['Keynote speech', 'keynote speech']",4.0,""
"DAT000003","Date","2025-10-23","","","","","","","","","2025-10-23"
"SPE000007","Speech","3:Europe’s road to renewables","","Europe’s road to renewables","by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at Norges Bank’s Climate Conference in Oslo, Norway","Europe’s road to renewables Speech by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at Norges Bank’s Climate Conference in Oslo, Norway Oslo, 21 October 2025 It is a pleasure to be at Norges Bank again. When I last visited the central bank, back in the summer of 2016, the world – and Europe – were in a very different place. The Paris Agreement, the international treaty to reduce green",3.0,"","","",""
"TOP000010","Topic","the easier and less costly the transition","","","","","",1.0000001756395354,"['the easier and less costly the transition']",1.0,""
"TOP000011","Topic","a system","","","","","",1.0,"['A system', 'a system']",28.0,""
"TOP000012","Topic","Energy inflation","","","","","",1.0,"['Energy inflation', 'energy inflation', 'higher energy inflation']",3.0,""
"DAT000004","Date","2025-10-21","","","","","","","","","2025-10-21"
"SPE000008","Speech","4:The transmission of monetary policy: financial conditions and credit dynamics","","The transmission of monetary policy: financial conditions and credit dynamics","Welcome address by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, at the 5th WE_ARE_IN Macroeconomics and Finance Conference 2025","The transmission of monetary policy: financial conditions and credit dynamics Welcome address by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, at the 5th WE_ARE_IN Macroeconomics and Finance Conference 2025 Frankfurt am Main, 21 October 2025 It is an honour to participate in the fifth edition of the WE_ARE_IN Macroeconomics and Finance Conference and I congratulate th",4.0,"","","",""
"TOP000013","Topic","important sources","","","","","",1.0,"['Important sources', 'important sources']",2.0,""
"TOP000014","Topic","Chart 1","","","","","",1.0,"['Chart 1', 'Chart 1 4']",12.0,""
"TOP000015","Topic","2019 and the weighted average FCI to Arrigoni et al 2020","","","","","",1.0000001468040716,"['2019 and the weighted average FCI to Arrigoni et al 2020']",1.0,""
"SPE000009","Speaker","Isabel Schnabel","csv","","","","","","","",""
"SPE000010","Speech","5:How to revive growth in Europe","","How to revive growth in Europe","Slides by Isabel Schnabel, Member of the Executive Board of the European Central Bank, at 5th WE_ARE_IN Macroeconomics & Finance Conference","",5.0,"","","",""
"TOP000016","Topic","the Executive Board","","","","","",1.0,"['the Executive Board']",144.0,""
"TOP000017","Topic","Macroeconomics Finance Conference","","","","","",1.0000001035654986,"['Macroeconomics Finance Conference']",1.0,""
"TOP000018","Topic","How to revive growth in Europe Slides by Isabel Schnabel Member of the Executive Board of the European Central Bank at 5th WE ARE IN Macroeconomics Finance Conference","","","","","",1.0,"['How to revive growth in Europe Slides by Isabel Schnabel Member of the Executive Board of the European Central Bank at 5th WE ARE IN Macroeconomics Finance Conference', 'Reviving growth in the euro area Presentation by Isabel Schnabel Member of the Executive Board of the EUROPEAN CENTRAL BANK at the European House Ambrosetti s 36th Workshop on Economy and Finance Italy']",2.0,""
"DAT000005","Date","2025-10-20","","","","","","","","","2025-10-20"
