"source","target","key","type","confidence","source_row"
"SPE000001","SPE000002","SPE000002-delivered","delivered",1.0,0
"SPE000001","TOP000001","SPE000002-TOP000001-covers","covers",1.000000238418579,0
"SPE000001","TOP000002","SPE000002-TOP000002-covers","covers",1.000000238418579,0
"SPE000001","TOP000003","SPE000002-TOP000003-covers","covers",1.000000238418579,0
"SPE000001","SPE000007","SPE000007-delivered","delivered",1.0,3
"SPE000001","TOP000010","SPE000007-TOP000010-covers","covers",1.000000238418579,3
"SPE000001","TOP000011","SPE000007-TOP000011-covers","covers",1.000000238418579,3
"SPE000001","TOP000012","SPE000007-TOP000012-covers","covers",1.000000238418579,3
"SPE000001","SPE000011","SPE000011-delivered","delivered",1.0,6
"SPE000001","TOP000019","SPE000011-TOP000019-covers","covers",1.000000238418579,6
"SPE000001","TOP000020","SPE000011-TOP000020-covers","covers",1.000000238418579,6
"SPE000001","TOP000021","SPE000011-TOP000021-covers","covers",1.000000238418579,6
"SPE000001","SPE000014","SPE000014-delivered","delivered",1.0,8
"SPE000001","TOP000025","SPE000014-TOP000025-covers","covers",1.000000238418579,8
"SPE000001","TOP000026","SPE000014-TOP000026-covers","covers",1.000000238418579,8
"SPE000001","TOP000027","SPE000014-TOP000027-covers","covers",1.000000238418579,8
"SPE000001","SPE000018","SPE000018-delivered","delivered",1.0,11
"SPE000001","TOP000033","SPE000018-TOP000033-covers","covers",1.000000238418579,11
"SPE000001","TOP000034","SPE000018-TOP000034-covers","covers",1.000000238418579,11
"SPE000001","TOP000035","SPE000018-TOP000035-covers","covers",1.000000238418579,11
"SPE000001","SPE000019","SPE000019-delivered","delivered",1.0,12
"SPE000001","TOP000036","SPE000019-TOP000036-covers","covers",1.000000238418579,12
"SPE000001","TOP000037","SPE000019-TOP000037-covers","covers",1.000000238418579,12
"SPE000001","TOP000038","SPE000019-TOP000038-covers","covers",1.000000238418579,12
"SPE000001","SPE000022","SPE000022-delivered","delivered",1.0,15
"SPE000001","TOP000045","SPE000022-TOP000045-covers","covers",1.000000238418579,15
"SPE000001","TOP000046","SPE000022-TOP000046-covers","covers",1.000000238418579,15
"SPE000001","TOP000047","SPE000022-TOP000047-covers","covers",1.000000238418579,15
"SPE000001","SPE000025","SPE000025-delivered","delivered",1.0,18
"SPE000001","TOP000054","SPE000025-TOP000054-covers","covers",1.000000238418579,18
"SPE000001","TOP000055","SPE000025-TOP000055-covers","covers",1.000000238418579,18
"SPE000001","TOP000056","SPE000025-TOP000056-covers","covers",1.000000238418579,18
"SPE000001","SPE000030","SPE000030-delivered","delivered",1.0,23
"SPE000001","TOP000068","SPE000030-TOP000068-covers","covers",1.000000238418579,23
"SPE000001","TOP000069","SPE000030-TOP000069-covers","covers",1.000000238418579,23
"SPE000001","TOP000070","SPE000030-TOP000070-covers","covers",1.000000238418579,23
"SPE000001","SPE000031","SPE000031-delivered","delivered",1.0,24
"SPE000001","TOP000071","SPE000031-TOP000071-covers","covers",1.000000238418579,24
"SPE000001","TOP000072","SPE000031-TOP000072-covers","covers",1.000000238418579,24
"SPE000001","TOP000073","SPE000031-TOP000073-covers","covers",1.000000238418579,24
"SPE000001","SPE000034","SPE000034-delivered","delivered",1.0,27
"SPE000001","TOP000080","SPE000034-TOP000080-covers","covers",1.000000238418579,27
"SPE000001","TOP000081","SPE000034-TOP000081-covers","covers",1.000000238418579,27
"SPE000001","TOP000082","SPE000034-TOP000082-covers","covers",1.000000238418579,27
"SPE000001","SPE000035","SPE000035-delivered","delivered",1.0,28
"SPE000001","TOP000083","SPE000035-TOP000083-covers","covers",1.000000238418579,28
"SPE000001","TOP000084","SPE000035-TOP000084-covers","covers",1.000000238418579,28
"SPE000001","TOP000085","SPE000035-TOP000085-covers","covers",1.000000238418579,28
"SPE000001","SPE000036","SPE000036-delivered","delivered",1.0,29
"SPE000001","TOP000086","SPE000036-TOP000086-covers","covers",1.000000238418579,29
"SPE000001","TOP000087","SPE000036-TOP000087-covers","covers",1.000000238418579,29
"SPE000001","TOP000088","SPE000036-TOP000088-covers","covers",1.000000238418579,29
"SPE000001","SPE000037","SPE000037-delivered","delivered",1.0,30
"SPE000001","TOP000089","SPE000037-TOP000089-covers","covers",1.000000238418579,30
"SPE000001","TOP000090","SPE000037-TOP000090-covers","covers",1.000000238418579,30
"SPE000001","TOP000091","SPE000037-TOP000091-covers","covers",1.000000238418579,30
"SPE000001","SPE000042","SPE000042-delivered","delivered",1.0,35
"SPE000001","TOP000103","SPE000042-TOP000103-covers","covers",1.000000238418579,35
"SPE000001","TOP000104","SPE000042-TOP000104-covers","covers",1.000000238418579,35
"SPE000001","TOP000105","SPE000042-TOP000105-covers","covers",1.000000238418579,35
"SPE000001","SPE000046","SPE000046-delivered","delivered",1.0,38
"SPE000001","TOP000111","SPE000046-TOP000111-covers","covers",1.000000238418579,38
"SPE000001","TOP000112","SPE000046-TOP000112-covers","covers",1.000000238418579,38
"SPE000001","TOP000113","SPE000046-TOP000113-covers","covers",1.000000238418579,38
"SPE000001","SPE000049","SPE000049-delivered","delivered",1.0,41
"SPE000001","TOP000120","SPE000049-TOP000120-covers","covers",1.000000238418579,41
"SPE000001","TOP000121","SPE000049-TOP000121-covers","covers",1.000000238418579,41
"SPE000001","TOP000122","SPE000049-TOP000122-covers","covers",1.000000238418579,41
"SPE000001","SPE000050","SPE000050-delivered","delivered",1.0,42
"SPE000001","TOP000123","SPE000050-TOP000123-covers","covers",1.000000238418579,42
"SPE000001","TOP000124","SPE000050-TOP000124-covers","covers",1.000000238418579,42
"SPE000001","TOP000125","SPE000050-TOP000125-covers","covers",1.000000238418579,42
"SPE000001","SPE000057","SPE000057-delivered","delivered",1.0,49
"SPE000001","TOP000139","SPE000057-TOP000139-covers","covers",1.000000238418579,49
"SPE000001","TOP000140","SPE000057-TOP000140-covers","covers",1.000000238418579,49
"SPE000001","TOP000141","SPE000057-TOP000141-covers","covers",1.000000238418579,49
"SPE000001","SPE000060","SPE000060-delivered","delivered",1.0,52
"SPE000001","TOP000147","SPE000060-TOP000147-covers","covers",1.000000238418579,52
"SPE000001","TOP000148","SPE000060-TOP000148-covers","covers",1.000000238418579,52
"SPE000001","TOP000149","SPE000060-TOP000149-covers","covers",1.000000238418579,52
"SPE000001","SPE000061","SPE000061-delivered","delivered",1.0,53
"SPE000001","TOP000150","SPE000061-TOP000150-covers","covers",1.000000238418579,53
"SPE000001","TOP000151","SPE000061-TOP000151-covers","covers",1.000000238418579,53
"SPE000001","TOP000152","SPE000061-TOP000152-covers","covers",1.000000238418579,53
"SPE000001","SPE000070","SPE000070-delivered","delivered",1.0,63
"SPE000001","TOP000176","SPE000070-TOP000176-covers","covers",1.000000238418579,63
"SPE000001","TOP000177","SPE000070-TOP000177-covers","covers",1.000000238418579,63
"SPE000001","TOP000008","SPE000070-TOP000008-covers","covers",1.000000238418579,63
"SPE000001","SPE000075","SPE000075-delivered","delivered",1.0,69
"SPE000001","TOP000187","SPE000075-TOP000187-covers","covers",1.000000238418579,69
"SPE000001","TOP000188","SPE000075-TOP000188-covers","covers",1.000000238418579,69
"SPE000001","TOP000189","SPE000075-TOP000189-covers","covers",1.000000238418579,69
"SPE000001","SPE000077","SPE000077-delivered","delivered",1.0,71
"SPE000001","TOP000190","SPE000077-TOP000190-covers","covers",1.000000238418579,71
"SPE000001","TOP000191","SPE000077-TOP000191-covers","covers",1.000000238418579,71
"SPE000001","TOP000192","SPE000077-TOP000192-covers","covers",1.000000238418579,71
"SPE000001","SPE000082","SPE000082-delivered","delivered",1.0,76
"SPE000001","TOP000204","SPE000082-TOP000204-covers","covers",1.000000238418579,76
"SPE000001","TOP000205","SPE000082-TOP000205-covers","covers",1.000000238418579,76
"SPE000001","TOP000206","SPE000082-TOP000206-covers","covers",1.000000238418579,76
"SPE000001","SPE000085","SPE000085-delivered","delivered",1.0,79
"SPE000001","TOP000211","SPE000085-TOP000211-covers","covers",1.000000238418579,79
"SPE000001","TOP000212","SPE000085-TOP000212-covers","covers",1.000000238418579,79
"SPE000001","TOP000213","SPE000085-TOP000213-covers","covers",1.000000238418579,79
"SPE000001","SPE000091","SPE000091-delivered","delivered",1.0,85
"SPE000001","TOP000227","SPE000091-TOP000227-covers","covers",1.000000238418579,85
"SPE000001","TOP000228","SPE000091-TOP000228-covers","covers",1.000000238418579,85
"SPE000001","TOP000229","SPE000091-TOP000229-covers","covers",1.000000238418579,85
"SPE000001","SPE000093","SPE000093-delivered","delivered",1.0,87
"SPE000001","TOP000233","SPE000093-TOP000233-covers","covers",1.000000238418579,87
"SPE000001","TOP000234","SPE000093-TOP000234-covers","covers",1.000000238418579,87
"SPE000001","TOP000235","SPE000093-TOP000235-covers","covers",1.000000238418579,87
"SPE000001","SPE000099","SPE000099-delivered","delivered",1.0,94
"SPE000001","TOP000248","SPE000099-TOP000248-covers","covers",1.000000238418579,94
"SPE000001","TOP000249","SPE000099-TOP000249-covers","covers",1.000000238418579,94
"SPE000001","TOP000250","SPE000099-TOP000250-covers","covers",1.000000238418579,94
"SPE000001","SPE000100","SPE000100-delivered","delivered",1.0,95
"SPE000001","TOP000251","SPE000100-TOP000251-covers","covers",1.000000238418579,95
"SPE000001","TOP000252","SPE000100-TOP000252-covers","covers",1.000000238418579,95
"SPE000001","TOP000253","SPE000100-TOP000253-covers","covers",1.000000238418579,95
"SPE000001","SPE000105","SPE000105-delivered","delivered",1.0,100
"SPE000001","TOP000265","SPE000105-TOP000265-covers","covers",1.000000238418579,100
"SPE000001","TOP000266","SPE000105-TOP000266-covers","covers",1.000000238418579,100
"SPE000001","TOP000267","SPE000105-TOP000267-covers","covers",1.000000238418579,100
"SPE000001","SPE000110","SPE000110-delivered","delivered",1.0,105
"SPE000001","TOP000279","SPE000110-TOP000279-covers","covers",1.000000238418579,105
"SPE000001","TOP000280","SPE000110-TOP000280-covers","covers",1.000000238418579,105
"SPE000001","TOP000281","SPE000110-TOP000281-covers","covers",1.000000238418579,105
"SPE000001","SPE000119","SPE000119-delivered","delivered",1.0,114
"SPE000001","TOP000304","SPE000119-TOP000304-covers","covers",1.000000238418579,114
"SPE000001","TOP000305","SPE000119-TOP000305-covers","covers",1.000000238418579,114
"SPE000001","TOP000306","SPE000119-TOP000306-covers","covers",1.000000238418579,114
"SPE000001","SPE000121","SPE000121-delivered","delivered",1.0,116
"SPE000001","TOP000310","SPE000121-TOP000310-covers","covers",1.000000238418579,116
"SPE000001","TOP000311","SPE000121-TOP000311-covers","covers",1.000000238418579,116
"SPE000001","TOP000312","SPE000121-TOP000312-covers","covers",1.000000238418579,116
"SPE000001","SPE000126","SPE000126-delivered","delivered",1.0,121
"SPE000001","TOP000322","SPE000126-TOP000322-covers","covers",1.000000238418579,121
"SPE000001","TOP000323","SPE000126-TOP000323-covers","covers",1.000000238418579,121
"SPE000001","TOP000324","SPE000126-TOP000324-covers","covers",1.000000238418579,121
"SPE000001","SPE000130","SPE000130-delivered","delivered",1.0,125
"SPE000001","TOP000329","SPE000130-TOP000329-covers","covers",1.000000238418579,125
"SPE000001","TOP000330","SPE000130-TOP000330-covers","covers",1.000000238418579,125
"SPE000001","TOP000331","SPE000130-TOP000331-covers","covers",1.000000238418579,125
"SPE000001","SPE000138","SPE000138-delivered","delivered",1.0,133
"SPE000001","TOP000351","SPE000138-TOP000351-covers","covers",1.000000238418579,133
"SPE000001","TOP000352","SPE000138-TOP000352-covers","covers",1.000000238418579,133
"SPE000001","TOP000353","SPE000138-TOP000353-covers","covers",1.000000238418579,133
"SPE000001","SPE000141","SPE000141-delivered","delivered",1.0,136
"SPE000001","TOP000358","SPE000141-TOP000358-covers","covers",1.000000238418579,136
"SPE000001","TOP000359","SPE000141-TOP000359-covers","covers",1.000000238418579,136
"SPE000001","TOP000360","SPE000141-TOP000360-covers","covers",1.000000238418579,136
"SPE000001","SPE000143","SPE000143-delivered","delivered",1.0,138
"SPE000001","TOP000364","SPE000143-TOP000364-covers","covers",1.000000238418579,138
"SPE000001","TOP000365","SPE000143-TOP000365-covers","covers",1.000000238418579,138
"SPE000001","TOP000366","SPE000143-TOP000366-covers","covers",1.000000238418579,138
"SPE000001","SPE000153","SPE000153-delivered","delivered",1.0,148
"SPE000001","TOP000388","SPE000153-TOP000388-covers","covers",1.000000238418579,148
"SPE000001","TOP000389","SPE000153-TOP000389-covers","covers",1.000000238418579,148
"SPE000001","TOP000390","SPE000153-TOP000390-covers","covers",1.000000238418579,148
"SPE000001","SPE000157","SPE000157-delivered","delivered",1.0,152
"SPE000001","TOP000398","SPE000157-TOP000398-covers","covers",1.000000238418579,152
"SPE000001","TOP000399","SPE000157-TOP000399-covers","covers",1.000000238418579,152
"SPE000001","TOP000400","SPE000157-TOP000400-covers","covers",1.000000238418579,152
"SPE000001","SPE000161","SPE000161-delivered","delivered",1.0,156
"SPE000001","TOP000409","SPE000161-TOP000409-covers","covers",1.000000238418579,156
"SPE000001","TOP000410","SPE000161-TOP000410-covers","covers",1.000000238418579,156
"SPE000001","TOP000411","SPE000161-TOP000411-covers","covers",1.000000238418579,156
"SPE000001","SPE000173","SPE000173-delivered","delivered",1.0,168
"SPE000001","TOP000440","SPE000173-TOP000440-covers","covers",1.000000238418579,168
"SPE000001","TOP000441","SPE000173-TOP000441-covers","covers",1.000000238418579,168
"SPE000001","TOP000442","SPE000173-TOP000442-covers","covers",1.000000238418579,168
"SPE000001","SPE000174","SPE000174-delivered","delivered",1.0,169
"SPE000001","TOP000443","SPE000174-TOP000443-covers","covers",1.000000238418579,169
"SPE000001","TOP000444","SPE000174-TOP000444-covers","covers",1.000000238418579,169
"SPE000001","TOP000445","SPE000174-TOP000445-covers","covers",1.000000238418579,169
"SPE000001","SPE000186","SPE000186-delivered","delivered",1.0,181
"SPE000001","TOP000472","SPE000186-TOP000472-covers","covers",1.000000238418579,181
"SPE000001","TOP000473","SPE000186-TOP000473-covers","covers",1.000000238418579,181
"SPE000001","TOP000474","SPE000186-TOP000474-covers","covers",1.000000238418579,181
"SPE000001","SPE000190","SPE000190-delivered","delivered",1.0,185
"SPE000001","TOP000478","SPE000190-TOP000478-covers","covers",1.000000238418579,185
"SPE000001","TOP000479","SPE000190-TOP000479-covers","covers",1.000000238418579,185
"SPE000001","TOP000480","SPE000190-TOP000480-covers","covers",1.000000238418579,185
"SPE000001","SPE000194","SPE000194-delivered","delivered",1.0,189
"SPE000001","TOP000489","SPE000194-TOP000489-covers","covers",1.000000238418579,189
"SPE000001","TOP000490","SPE000194-TOP000490-covers","covers",1.000000238418579,189
"SPE000001","TOP000491","SPE000194-TOP000491-covers","covers",1.000000238418579,189
"SPE000001","SPE000208","SPE000208-delivered","delivered",1.0,203
"SPE000001","TOP000528","SPE000208-TOP000528-covers","covers",1.000000238418579,203
"SPE000001","TOP000529","SPE000208-TOP000529-covers","covers",1.000000238418579,203
"SPE000001","TOP000530","SPE000208-TOP000530-covers","covers",1.000000238418579,203
"SPE000001","SPE000209","SPE000209-delivered","delivered",1.0,204
"SPE000001","TOP000531","SPE000209-TOP000531-covers","covers",1.000000238418579,204
"SPE000001","TOP000532","SPE000209-TOP000532-covers","covers",1.000000238418579,204
"SPE000001","TOP000533","SPE000209-TOP000533-covers","covers",1.000000238418579,204
"SPE000001","SPE000211","SPE000211-delivered","delivered",1.0,206
"SPE000001","TOP000535","SPE000211-TOP000535-covers","covers",1.000000238418579,206
"SPE000001","TOP000536","SPE000211-TOP000536-covers","covers",1.000000238418579,206
"SPE000001","TOP000537","SPE000211-TOP000537-covers","covers",1.000000238418579,206
"SPE000001","SPE000215","SPE000215-delivered","delivered",1.0,210
"SPE000001","TOP000543","SPE000215-TOP000543-covers","covers",1.000000238418579,210
"SPE000001","TOP000544","SPE000215-TOP000544-covers","covers",1.000000238418579,210
"SPE000001","TOP000545","SPE000215-TOP000545-covers","covers",1.000000238418579,210
"SPE000001","SPE000218","SPE000218-delivered","delivered",1.0,213
