"id","type","label","source","title","subtitle","text_excerpt","source_row","confidence","aliases","mentions","iso"
"SPE000001","Speaker","Christine Lagarde","csv","","","","","","","",""
"SPE000002","Speech","0:Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence","","Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence","by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at the official dinner given by the Banca d’Italia in Florence, Italy","Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence Speech by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at the official dinner given by the Banca d’Italia in Florence, Italy Florence, 29 October 2025 It is a pleasure to be here in Florence. It is always difficult to give remarks after Fabio, who is a very e",0.0,"","","",""
"TOP000001","Topic","It gave United States great works by Michelangelo and Leonardo da Vinci fostered humanist scholarship and spread printing and scientific learning across the continent","","","","","",1.000000238418579,"['It gave United States great works by Michelangelo and Leonardo da Vinci fostered humanist scholarship and spread printing and scientific learning across the continent']",1.0,""
"TOP000002","Topic","During the sixteen years it took to build the dome some contemporaries were convinced it would collapse during construction","","","","","",1.000000238418579,"['During the sixteen years it took to build the dome some contemporaries were convinced it would collapse during construction']",1.0,""
"TOP000003","Topic","It is always difficult to give remarks after Fabio who is a very eloquent advocate","","","","","",1.000000238418579,"['It is always difficult to give remarks after Fabio who is a very eloquent advocate']",1.0,""
"DAT000001","Date","2025-10-29","","","","","","","","","2025-10-29"
"SPE000003","Speaker","Frank Elderson","csv","","","","","","","",""
"SPE000004","Speech","1:Making supervision simpler: the role of supervisory guides","","Making supervision simpler: the role of supervisory guides","Keynote speech by Frank Elderson, Member of the Executive Board of the EUROPEAN CENTRAL BANK and Vice-Chair of the Supervisory Board of the EUROPEAN CENTRAL BANK, at the EUROPEAN CENTRAL BANK and EUI Banking Governance High-Level Seminar “Board of the Future”","Making supervision simpler: the role of supervisory guides Keynote speech by Frank Elderson, Member of the Executive Board of the EUROPEAN CENTRAL BANK and Vice-Chair of the Supervisory Board of the EUROPEAN CENTRAL BANK, at the EUROPEAN CENTRAL BANK and EUI Banking Governance High-Level Seminar “Board of the Future” Florence, 27 October 2025 It is a great pleasure to be with you here in Florence.",1.0,"","","",""
"TOP000004","Topic","But just as the Florentine architects achieved simplification by reverting to classical foundations today s supervisors need to reduce overlaps undue complexity and costs without damaging the solid foundations on which the European banking system is built we need to simplify without compromising resilience","","","","","",1.000000238418579,"['But just as the Florentine architects achieved simplification by reverting to classical foundations today s supervisors need to reduce overlaps undue complexity and costs without damaging the solid foundations on which the European banking system is built we need to simplify without compromising resilience']",1.0,""
"TOP000005","Topic","The Florentine Renaissance showed that progress isn t about adding additional layers of complexity but about applying enduring principles such as clarity proportion and structure","","","","","",1.000000238418579,"['The Florentine Renaissance showed that progress isn t about adding additional layers of complexity but about applying enduring principles such as clarity proportion and structure']",1.0,""
"TOP000006","Topic","very valuable feedback","","","","","",1.000000238418579,"['very valuable feedback']",1.0,""
"DAT000002","Date","2025-10-27","","","","","","","","","2025-10-27"
"SPE000005","Speaker","Philip R. Lane","csv","","","","","","","",""
"SPE000006","Speech","2:Acceptance speech 2025 Pádraig Ó hUiginn Award","","Acceptance speech 2025 Pádraig Ó hUiginn Award","Remarks by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, on the occasion of the conferral of the 2025 Pádraig Ó hUiginn Award","Acceptance speech 2025 Pádraig Ó hUiginn Award Remarks by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, on the occasion of the conferral of the 2025 Pádraig Ó hUiginn Award Dublin, 23 October 2025 It is an honour to receive the Pádraig Ó hUiginn Award. Pádraig Ó hUiginn and the previous recipients of this award (John Bruton, Catherine Day and Michael Noonan) have all ",2.0,"","","",""
"TOP000007","Topic","In terms of the contribution of public policy to the development of financial services the Directive Principles of Social Policy section of the Constitution of Ireland requires That in what pertains to the control of credit the constant and predominant aim shall be the welfare of the people as a whole","","","","","",1.000000238418579,"['In terms of the contribution of public policy to the development of financial services the Directive Principles of Social Policy section of the Constitution of Ireland requires That in what pertains to the control of credit the constant and predominant aim shall be the welfare of the people as a whole']",1.0,""
"TOP000008","Topic","the savings and investments union","","","","","",1.000000238418579,"['the European savings and investment union', 'the savings and investment union', 'the savings and investments union']",5.0,""
"TOP000009","Topic","the constant and predominant aim","","","","","",1.000000238418579,"['the constant and predominant aim']",1.0,""
"DAT000003","Date","2025-10-23","","","","","","","","","2025-10-23"
"SPE000007","Speech","3:Europe’s road to renewables","","Europe’s road to renewables","by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at Norges Bank’s Climate Conference in Oslo, Norway","Europe’s road to renewables Speech by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at Norges Bank’s Climate Conference in Oslo, Norway Oslo, 21 October 2025 It is a pleasure to be at Norges Bank again. When I last visited the central bank, back in the summer of 2016, the world – and Europe – were in a very different place. The Paris Agreement, the international treaty to reduce green",3.0,"","","",""
"TOP000010","Topic","The share of renewables in energy consumption here ranks among the highest in the world 1 while household energy prices are around two thirds of the EUROPEAN UNION average 2 But for other countries to achieve the same they must act more decisively","","","","","",1.000000238418579,"['The share of renewables in energy consumption here ranks among the highest in the world 1 while household energy prices are around two thirds of the EUROPEAN UNION average 2 But for other countries to achieve the same they must act more decisively']",1.0,""
"TOP000011","Topic","The Paris Agreement the international treaty to reduce greenhouse gas emissions was not yet one year old and still enjoyed strong support among all major powers","","","","","",1.000000238418579,"['The Paris Agreement the international treaty to reduce greenhouse gas emissions was not yet one year old and still enjoyed strong support among all major powers']",1.0,""
"TOP000012","Topic","Second renewables offer a level of energy independence that given our lack of natural resources Europe would never reach with imported fossil fuels","","","","","",1.000000238418579,"['Second renewables offer a level of energy independence that given our lack of natural resources Europe would never reach with imported fossil fuels']",1.0,""
"DAT000004","Date","2025-10-21","","","","","","","","","2025-10-21"
"SPE000008","Speech","4:The transmission of monetary policy: financial conditions and credit dynamics","","The transmission of monetary policy: financial conditions and credit dynamics","Welcome address by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, at the 5th WE_ARE_IN Macroeconomics and Finance Conference 2025","The transmission of monetary policy: financial conditions and credit dynamics Welcome address by Philip R. Lane, Member of the Executive Board of the EUROPEAN CENTRAL BANK, at the 5th WE_ARE_IN Macroeconomics and Finance Conference 2025 Frankfurt am Main, 21 October 2025 It is an honour to participate in the fifth edition of the WE_ARE_IN Macroeconomics and Finance Conference and I congratulate th",4.0,"","","",""
