s.id,t.id
SPE000002,TOP000003
SPE000002,TOP000002
SPE000002,TOP000001
SPE000004,TOP000006
SPE000004,TOP000005
SPE000004,TOP000004
SPE000006,TOP000008
SPE000006,TOP000007
SPE000006,TOP000009
SPE000007,TOP000012
SPE000007,TOP000010
SPE000007,TOP000011
SPE000008,TOP000013
SPE000008,TOP000014
SPE000008,TOP000015
SPE000010,TOP000017
SPE000010,TOP000018
SPE000010,TOP000016
SPE000011,TOP001636
SPE000011,TOP002277
SPE000011,TOP002276
SPE000011,TOP002278
SPE000011,TOP002017
SPE000011,TOP007109
SPE000011,TOP000383
SPE000011,TOP000382
SPE000011,TOP000381
SPE000011,TOP000020
SPE000011,TOP007110
SPE000011,TOP001635
SPE000011,TOP000021
SPE000011,TOP000019
SPE000011,TOP001634
SPE000013,TOP000023
SPE000013,TOP000022
SPE000013,TOP000024
SPE000014,TOP001249
SPE000014,TOP001651
SPE000014,TOP001794
SPE000014,TOP000830
SPE000014,TOP001118
SPE000014,TOP000722
SPE000014,TOP001752
SPE000014,TOP000025
SPE000014,TOP002493
SPE000014,TOP001505
SPE000014,TOP001979
SPE000014,TOP000723
SPE000014,TOP002709
SPE000014,TOP000721
SPE000014,TOP001649
SPE000014,TOP001981
SPE000014,TOP000323
SPE000014,TOP000008
SPE000014,TOP002106
SPE000014,TOP000177
SPE000014,TOP001248
SPE000014,TOP002849
SPE000014,TOP002302
SPE000014,TOP000324
SPE000014,TOP001383
SPE000014,TOP000571
SPE000014,TOP001650
SPE000014,TOP001384
SPE000014,TOP000026
SPE000014,TOP000831
SPE000014,TOP000581
SPE000014,TOP002711
SPE000014,TOP001119
SPE000014,TOP002851
SPE000014,TOP001980
SPE000014,TOP002710
SPE000014,TOP000027
SPE000014,TOP001382
SPE000014,TOP000580
SPE000014,TOP000176
SPE000014,TOP002303
SPE000014,TOP000322
SPE000014,TOP000948
SPE000014,TOP002107
SPE000014,TOP002105
SPE000014,TOP001506
SPE000014,TOP000445
SPE000014,TOP001247
SPE000014,TOP000832
SPE000014,TOP002304
SPE000014,TOP001117
SPE000014,TOP002850
SPE000014,TOP000947
SPE000014,TOP001504
SPE000014,TOP000946
SPE000014,TOP002494
SPE000014,TOP001793
SPE000014,TOP000444
SPE000014,TOP000443
SPE000016,TOP000030
SPE000016,TOP000029
SPE000016,TOP000028
SPE000017,TOP000018
SPE000017,TOP000032
SPE000017,TOP000031
SPE000018,TOP000033
SPE000018,TOP000034
SPE000018,TOP000035
SPE000019,TOP000206
SPE000019,TOP000594
SPE000019,TOP001146
SPE000019,TOP000537
SPE000019,TOP000205
SPE000019,TOP000788
SPE000019,TOP001148
SPE000019,TOP000491
SPE000019,TOP002233
SPE000019,TOP001919
SPE000019,TOP002786
SPE000019,TOP000351
SPE000019,TOP000490
SPE000019,TOP000892
SPE000019,TOP000122
SPE000019,TOP001874
SPE000019,TOP000890
SPE000019,TOP000598
SPE000019,TOP000852
SPE000019,TOP000669
SPE000019,TOP000668
SPE000019,TOP001076
SPE000019,TOP000253
SPE000019,TOP000740
SPE000019,TOP001012
SPE000019,TOP000595
SPE000019,TOP002231
SPE000019,TOP002788
SPE000019,TOP007443
SPE000019,TOP000120
SPE000019,TOP002327
SPE000019,TOP000038
SPE000019,TOP002441
SPE000019,TOP000742
SPE000019,TOP001873
SPE000019,TOP002232
SPE000019,TOP000596
SPE000019,TOP000251
SPE000019,TOP002440
SPE000019,TOP000853
SPE000019,TOP002631
SPE000019,TOP001260
SPE000019,TOP001147
SPE000019,TOP002036
SPE000019,TOP002038
SPE000019,TOP001197
SPE000019,TOP002005
SPE000019,TOP002037
SPE000019,TOP001075
SPE000019,TOP002007
SPE000019,TOP001013
SPE000019,TOP000536
SPE000019,TOP002158
SPE000019,TOP002159
SPE000019,TOP001074
SPE000019,TOP002630
SPE000019,TOP002632
SPE000019,TOP002730
SPE000019,TOP002583
SPE000019,TOP002006
SPE000019,TOP000741
SPE000019,TOP000252
SPE000019,TOP000891
SPE000019,TOP002328
SPE000019,TOP002787
SPE000019,TOP000790
SPE000019,TOP002326
SPE000019,TOP001021
SPE000019,TOP002729
SPE000019,TOP000037
SPE000019,TOP002582
SPE000019,TOP002442
SPE000019,TOP000789
SPE000019,TOP000204
SPE000019,TOP001872
SPE000019,TOP000851
SPE000019,TOP002581
SPE000019,TOP000670
SPE000019,TOP000036
SPE000019,TOP002728
SPE000019,TOP007442
SPE000019,TOP001918
SPE000019,TOP001917
SPE000019,TOP000121
SPE000019,TOP001196
SPE000019,TOP001261
SPE000019,TOP002157
SPE000019,TOP000353
SPE000019,TOP000535
SPE000019,TOP000352
SPE000019,TOP000489
SPE000019,TOP001259
SPE000019,TOP001195
SPE000020,TOP000040
SPE000020,TOP000041
SPE000020,TOP000039
SPE000021,TOP000042
SPE000021,TOP000043
SPE000021,TOP000044
SPE000022,TOP000046
SPE000022,TOP000045
SPE000022,TOP000047
SPE000023,TOP000050
SPE000023,TOP000048
SPE000023,TOP000049
SPE000024,TOP000052
SPE000024,TOP000053
SPE000024,TOP000051
SPE000025,TOP000055
SPE000025,TOP000056
SPE000025,TOP000054
SPE000026,TOP000057
SPE000026,TOP000059
SPE000026,TOP000058
SPE000027,TOP000060
SPE000027,TOP000062
SPE000027,TOP000061
SPE000028,TOP000064
SPE000028,TOP000063
SPE000028,TOP000065
SPE000029,TOP000024
SPE000029,TOP000067
SPE000029,TOP000066
SPE000030,TOP000070
SPE000030,TOP000068
SPE000030,TOP000069
SPE000031,TOP000073
SPE000031,TOP000072
SPE000031,TOP000071
SPE000032,TOP000075
SPE000032,TOP000076
SPE000032,TOP000074
SPE000033,TOP000079
SPE000033,TOP000077
SPE000033,TOP000078
SPE000034,TOP000080
SPE000034,TOP000082
SPE000034,TOP000081
SPE000035,TOP000084
SPE000035,TOP000083
SPE000035,TOP000085
SPE000036,TOP000087
SPE000036,TOP000086
SPE000036,TOP000088
SPE000037,TOP000091
SPE000037,TOP000090
SPE000037,TOP000089
SPE000038,TOP000093
SPE000038,TOP000092
SPE000038,TOP000094
SPE000039,TOP000097
SPE000039,TOP000095
SPE000039,TOP000096
SPE000040,TOP000099
SPE000040,TOP000098
SPE000040,TOP000008
SPE000041,TOP000102
SPE000041,TOP000101
SPE000041,TOP000100
SPE000042,TOP000103
SPE000042,TOP000105
SPE000042,TOP000104
SPE000044,TOP000107
SPE000044,TOP000008
SPE000044,TOP000106
SPE000045,TOP000108
SPE000045,TOP000109
SPE000045,TOP000110
SPE000046,TOP000112
SPE000046,TOP000113
SPE000046,TOP000111
SPE000047,TOP000115
SPE000047,TOP000135
SPE000047,TOP000114
SPE000047,TOP000116
SPE000048,TOP000118
SPE000048,TOP000119
SPE000048,TOP000117
SPE000049,TOP000123
SPE000049,TOP000125
SPE000049,TOP000124
SPE000050,TOP000127
SPE000050,TOP000128
SPE000050,TOP000126
SPE000051,TOP000067
SPE000051,TOP000024
SPE000051,TOP000066
SPE000052,TOP000131
SPE000052,TOP000130
SPE000052,TOP000129
SPE000053,TOP000134
SPE000053,TOP000133
SPE000053,TOP000132
SPE000054,TOP000137
SPE000054,TOP000138
SPE000054,TOP000136
SPE000055,TOP000141
SPE000055,TOP000140
SPE000055,TOP000139
SPE000056,TOP000143
SPE000056,TOP000142
SPE000056,TOP000144
SPE000057,TOP000018
SPE000057,TOP000146
SPE000057,TOP000145
SPE000058,TOP000148
SPE000058,TOP000147
SPE000058,TOP000149
SPE000059,TOP000151
SPE000059,TOP000152
SPE000059,TOP000150
SPE000060,TOP000018
SPE000060,TOP000153
SPE000060,TOP000154
SPE000061,TOP000156
SPE000061,TOP000157
SPE000061,TOP000155
SPE000062,TOP000158
SPE000062,TOP000159
SPE000062,TOP000160
SPE000063,TOP000161
SPE000063,TOP000287
SPE000063,TOP000163
SPE000063,TOP000672
SPE000063,TOP000673
SPE000063,TOP000286
SPE000063,TOP000671
SPE000063,TOP000162
SPE000063,TOP000285
SPE000064,TOP000164
SPE000064,TOP000165
SPE000064,TOP000166
SPE000065,TOP000169
SPE000065,TOP000167
SPE000065,TOP000168
SPE000066,TOP000170
SPE000066,TOP000172
SPE000066,TOP000171
SPE000067,TOP000175
SPE000067,TOP000173
SPE000067,TOP000174
SPE000068,TOP000179
SPE000068,TOP000180
SPE000068,TOP000178
SPE000069,TOP000182
SPE000069,TOP000453
SPE000069,TOP000181
SPE000069,TOP000018
SPE000069,TOP000076
SPE000069,TOP000024
SPE000070,TOP000153
SPE000070,TOP000183
SPE000070,TOP000018
SPE000070,TOP003522
SPE000070,TOP000016
SPE000070,TOP003521
SPE000070,TOP003523
SPE000071,TOP000184
SPE000071,TOP000185
SPE000071,TOP000186
SPE000072,TOP000188
SPE000072,TOP000187
SPE000072,TOP000189
SPE000073,TOP000191
SPE000073,TOP000192
SPE000073,TOP000190
SPE000074,TOP000195
SPE000074,TOP000193
SPE000074,TOP000194
SPE000075,TOP000197
SPE000075,TOP000196
SPE000075,TOP000198
SPE000076,TOP000008
SPE000076,TOP000199
SPE000076,TOP000200
SPE000077,TOP000201
SPE000077,TOP000202
SPE000077,TOP000203
SPE000078,TOP000208
SPE000078,TOP000209
SPE000078,TOP000207
SPE000079,TOP000018
SPE000079,TOP000210
SPE000080,TOP000213
SPE000080,TOP000212
SPE000080,TOP000211
SPE000081,TOP000215
SPE000081,TOP000214
SPE000081,TOP000216
SPE000082,TOP000217
SPE000082,TOP000076
SPE000082,TOP000018
SPE000083,TOP000220
SPE000083,TOP000219
SPE000083,TOP000218
SPE000084,TOP000223
SPE000084,TOP000222
SPE000084,TOP000221
SPE000085,TOP000225
SPE000085,TOP000224
SPE000085,TOP000226
SPE000086,TOP000478
SPE000086,TOP001292
SPE000086,TOP001013
SPE000086,TOP000229
SPE000086,TOP000480
SPE000086,TOP001012
SPE000086,TOP000762
SPE000086,TOP000763
SPE000086,TOP001291
SPE000086,TOP001293
SPE000086,TOP000479
SPE000086,TOP000228
SPE000086,TOP001014
SPE000086,TOP000764
SPE000086,TOP000227
SPE000087,TOP000230
SPE000087,TOP000232
SPE000087,TOP000231
SPE000088,TOP000235
SPE000088,TOP000234
SPE000088,TOP000233
SPE000089,TOP000519
SPE000089,TOP000236
SPE000089,TOP000520
SPE000089,TOP000237
SPE000089,TOP000521
SPE000089,TOP000238
SPE000090,TOP000296
SPE000090,TOP000018
SPE000090,TOP000976
SPE000090,TOP000243
SPE000090,TOP000076
SPE000090,TOP000244
SPE000090,TOP000197
SPE000090,TOP000242
SPE000091,TOP000241
SPE000091,TOP000268
SPE000091,TOP000240
SPE000091,TOP000239
SPE000091,TOP000269
SPE000092,TOP000245
SPE000092,TOP000247
SPE000092,TOP000246
SPE000093,TOP000250
SPE000093,TOP001817
SPE000093,TOP002055
SPE000093,TOP002143
SPE000093,TOP002144
SPE000093,TOP002053
SPE000093,TOP000858
SPE000093,TOP002142
SPE000093,TOP007914
SPE000093,TOP000859
SPE000093,TOP007915
SPE000093,TOP000248
SPE000093,TOP003261
SPE000093,TOP003259
SPE000093,TOP002054
SPE000093,TOP001815
SPE000093,TOP003260
SPE000093,TOP007889
SPE000093,TOP000249
SPE000093,TOP001816
SPE000093,TOP000860
SPE000094,TOP000255
SPE000094,TOP000254
SPE000094,TOP000024
SPE000095,TOP000256
SPE000095,TOP000258
SPE000095,TOP000257
SPE000096,TOP002964
SPE000096,TOP002963
SPE000096,TOP000261
SPE000096,TOP000260
SPE000096,TOP000259
SPE000096,TOP002962
SPE000097,TOP000292
SPE000097,TOP000293
SPE000097,TOP000263
SPE000097,TOP000262
SPE000097,TOP000294
SPE000097,TOP000264
SPE000098,TOP000265
SPE000098,TOP000266
SPE000098,TOP000267
SPE000099,TOP000272
SPE000099,TOP000270
SPE000099,TOP000271
SPE000100,TOP000273
SPE000100,TOP000274
SPE000100,TOP000275
SPE000101,TOP000276
SPE000101,TOP000277
SPE000101,TOP000278
SPE000102,TOP000280
SPE000102,TOP000281
SPE000102,TOP000279
SPE000103,TOP000284
SPE000103,TOP000282
SPE000103,TOP000283
SPE000104,TOP000197
SPE000104,TOP000288
SPE000104,TOP000262
SPE000105,TOP000291
SPE000105,TOP000289
SPE000105,TOP000290
SPE000106,TOP000297
SPE000106,TOP000296
SPE000106,TOP000295
SPE000107,TOP000300
