n
"(:Speaker {source_row: 0,name: Christine Lagarde,id: SPK000001})"
"(:Speaker {source_row: 1,name: Frank Elderson,id: SPK000003})"
"(:Speaker {source_row: 2,name: Philip R. Lane,id: SPK000005})"
"(:Speaker {source_row: 5,name: Isabel Schnabel,id: SPK000009})"
"(:Speaker {source_row: 7,name: Piero Cipollone,id: SPK000012})"
"(:Speaker {source_row: 9,name: Luis de Guindos,id: SPK000015})"
"(:Speaker {source_row: 36,name: Christine Lagarde,Philip R. Lane,id: SPK000043})"
"(:Speaker {source_row: 236,name: Fabio Panetta,id: SPK000209})"
"(:Speaker {source_row: 523,name: Yves Mersch,id: SPK000452})"
"(:Speaker {source_row: 599,name: Benoît Cœuré,id: SPK000521})"
"(:Speaker {source_row: 624,name: Sabine Lautenschläger,id: SPK000542})"
"(:Speaker {source_row: 625,name: Mario Draghi,id: SPK000544})"
"(:Speaker {source_row: 669,name: Peter Praet,id: SPK000584})"
"(:Speaker {source_row: 778,name: Vítor Constâncio,id: SPK000680})"
"(:Speaker {source_row: 1308,name: Jörg Asmussen,id: SPK001169})"
"(:Speaker {source_row: 1516,name: José Manuel González-Páramo,id: SPK001371})"
"(:Speaker {source_row: 1551,name: Lorenzo Bini Smaghi,id: SPK001404})"
"(:Speaker {source_row: 1555,name: Jürgen Stark,id: SPK001409})"
"(:Speaker {source_row: 1571,name: Jean-Claude Trichet,id: SPK001426})"
"(:Speaker {source_row: 1627,name: Gertrude Tumpel-Gugerell,id: SPK001479})"
"(:Speaker {source_row: 1761,name: Lucas Papademos,id: SPK001611})"
"(:Speaker {source_row: 2269,name: Otmar Issing,id: SPK002101})"
"(:Speaker {source_row: 2420,name: Tommaso Padoa-Schioppa,id: SPK002244})"
"(:Speaker {source_row: 2477,name: Eugenio Domingo Solans,id: SPK002299})"
"(:Speaker {source_row: 2517,name: Willem F. Duisenberg,id: SPK002338})"
