id,type,label,source_row,title,subtitle,text_excerpt,confidence,aliases,mentions,iso
SPK000001,Speaker,Christine Lagarde,0,,,,,,,
SPE000002,Speech,Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence,0,Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence,"by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at the official dinner given by the Banca d’Italia in Florence, Italy","Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence Speech by Christine Lagarde, President of the EUROPEAN CENTRAL BANK, at the official dinner given by the Banca d’Italia in Florence, Italy Florence, 29 October 2025 It is a pleasure to be here in Florence. It is always difficult to give remarks after Fabio, who is a very e",,,,
TOP000001,Topic,It gave United States great works by Michelangelo and Leonardo da Vinci fostered humanist scholarship and spread printing and scientific learning across the continent,0,,,,1.0,['It gave United States great works by Michelangelo and Leonardo da Vinci fostered humanist scholarship and spread printing and scientific learning across the continent'],1.0,
TOP000002,Topic,During the sixteen years it took to build the dome some contemporaries were convinced it would collapse during construction,0,,,,1.0,['During the sixteen years it took to build the dome some contemporaries were convinced it would collapse during construction'],1.0,
TOP000003,Topic,It is always difficult to give remarks after Fabio who is a very eloquent advocate,0,,,,1.0,['It is always difficult to give remarks after Fabio who is a very eloquent advocate'],1.0,
DAT000001,Date,2025-10-29,0,,,,,,,2025-10-29
SPK000003,Speaker,Frank Elderson,1,,,,,,,
SPE000004,Speech,Making supervision simpler: the role of supervisory guides,1,Making supervision simpler: the role of supervisory guides,"Keynote speech by Frank Elderson, Member of the Executive Board of the EUROPEAN CENTRAL BANK and Vice-Chair of the Supervisory Board of the EUROPEAN CENTRAL BANK, at the EUROPEAN CENTRAL BANK and EUI Banking Governance High-Level Seminar “Board of the Future”","Making supervision simpler: the role of supervisory guides Keynote speech by Frank Elderson, Member of the Executive Board of the EUROPEAN CENTRAL BANK and Vice-Chair of the Supervisory Board of the EUROPEAN CENTRAL BANK, at the EUROPEAN CENTRAL BANK and EUI Banking Governance High-Level Seminar “Board of the Future” Florence, 27 October 2025 It is a great pleasure to be with you here in Florence.",,,,
TOP000004,Topic,But just as the Florentine architects achieved simplification by reverting to classical foundations today s supervisors need to reduce overlaps undue complexity and costs without damaging the solid foundations on which the European banking system is built we need to simplify without compromising resilience,1,,,,1.0,['But just as the Florentine architects achieved simplification by reverting to classical foundations today s supervisors need to reduce overlaps undue complexity and costs without damaging the solid foundations on which the European banking system is built we need to simplify without compromising resilience'],1.0,
TOP000005,Topic,The Florentine Renaissance showed that progress isn t about adding additional layers of complexity but about applying enduring principles such as clarity proportion and structure,1,,,,1.0,['The Florentine Renaissance showed that progress isn t about adding additional layers of complexity but about applying enduring principles such as clarity proportion and structure'],1.0,
