"source","target","key","type","confidence","source_row"
"SPE000001","SPE000002","SPE000002-delivered","delivered",1.0,0
"SPE000001","TOP000001","SPE000002-TOP000001-covers","covers",1.0,0
"SPE000001","TOP000002","SPE000002-TOP000002-covers","covers",1.0,0
"SPE000001","TOP000003","SPE000002-TOP000003-covers","covers",1.0,0
"SPE000001","SPE000007","SPE000007-delivered","delivered",1.0,3
"SPE000001","TOP000010","SPE000007-TOP000010-covers","covers",1.0,3
"SPE000001","TOP000011","SPE000007-TOP000011-covers","covers",1.0,3
"SPE000001","TOP000012","SPE000007-TOP000012-covers","covers",1.0,3
"SPE000001","SPE000011","SPE000011-delivered","delivered",1.0,6
"SPE000001","TOP000019","SPE000011-TOP000019-covers","covers",1.0,6
"SPE000001","TOP000020","SPE000011-TOP000020-covers","covers",1.0,6
"SPE000001","TOP000021","SPE000011-TOP000021-covers","covers",1.0,6
"SPE000001","SPE000014","SPE000014-delivered","delivered",1.0,574
"SPE000001","TOP000025","SPE000014-TOP000025-covers","covers",1.0,8
"SPE000001","TOP000026","SPE000014-TOP000026-covers","covers",1.0,8
"SPE000001","TOP000027","SPE000014-TOP000027-covers","covers",1.0,8
"SPE000001","SPE000018","SPE000018-delivered","delivered",1.0,11
"SPE000001","TOP000033","SPE000018-TOP000033-covers","covers",1.0,11
"SPE000001","TOP000034","SPE000018-TOP000034-covers","covers",1.0,11
"SPE000001","TOP000035","SPE000018-TOP000035-covers","covers",1.0,11
"SPE000001","SPE000019","SPE000019-delivered","delivered",1.0,486
"SPE000001","TOP000036","SPE000019-TOP000036-covers","covers",1.0,12
"SPE000001","TOP000037","SPE000019-TOP000037-covers","covers",1.0,12
"SPE000001","TOP000038","SPE000019-TOP000038-covers","covers",1.0,12
"SPE000001","SPE000022","SPE000022-delivered","delivered",1.0,15
"SPE000001","TOP000045","SPE000022-TOP000045-covers","covers",1.0,15
"SPE000001","TOP000046","SPE000022-TOP000046-covers","covers",1.0,15
"SPE000001","TOP000047","SPE000022-TOP000047-covers","covers",1.0,15
"SPE000001","SPE000025","SPE000025-delivered","delivered",1.0,18
"SPE000001","TOP000054","SPE000025-TOP000054-covers","covers",1.0,18
"SPE000001","TOP000055","SPE000025-TOP000055-covers","covers",1.0,18
"SPE000001","TOP000056","SPE000025-TOP000056-covers","covers",1.0,18
"SPE000001","SPE000030","SPE000030-delivered","delivered",1.0,23
"SPE000001","TOP000068","SPE000030-TOP000068-covers","covers",1.0,23
"SPE000001","TOP000069","SPE000030-TOP000069-covers","covers",1.0,23
"SPE000001","TOP000070","SPE000030-TOP000070-covers","covers",1.0,23
"SPE000001","SPE000031","SPE000031-delivered","delivered",1.0,24
"SPE000001","TOP000071","SPE000031-TOP000071-covers","covers",1.0,24
"SPE000001","TOP000072","SPE000031-TOP000072-covers","covers",1.0,24
"SPE000001","TOP000073","SPE000031-TOP000073-covers","covers",1.0,24
