id,label,name,title,date
doc:0,Document,Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence,Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence,2025-10-29
speech:0,Speech,Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence,Remarks delivered at the Palazzo Vecchio on the occasion of the external Governing Council monetary policy meeting in Florence,2025-10-29
date:2025_10_29,Date,2025-10-29,,
person:christine_lagarde,Person,Christine Lagarde,,
org:governing_council,ORG,Governing Council,,
loc:florence_speech,GPE,Florence Speech,,
org:european_central_bank,ORG,ECB,,
org:banca,ORG,Banca,,
loc:florence,GPE,Florence,,
person:italy_remarks,PERSON,Italy Remarks,,
date:october_2025,DATE,October 2025,,
person:fabio,PERSON,Fabio,,
person:michelangelo,PERSON,Michelangelo,,
person:leonardo_da_vinci,PERSON,Leonardo da Vinci,,
org:brunelleschi,ORG,Brunelleschi,,
loc:europe,LOC,Europe,,
date:today,DATE,today,,
date:the_late_1200s,DATE,the late 1200s,,
date:more_than_a_century,DATE,more than a century,,
org:florence,ORG,Florence,,
org:the_black_death,ORG,the Black Death,,
date:1418,DATE,1418,,
date:the_sixteen_years,DATE,the sixteen years,,
person:alcide_de_gasperi,PERSON,Alcide De Gasperi,,
person:altiero_spinelli,PERSON,Altiero Spinelli,,
person:mario_draghi,PERSON,Mario Draghi,,
date:just_the_past_five_years,DATE,just the past five years,,
date:the_1920s,DATE,the 1920s,,
loc:us,GPE,US,,
date:the_1930s,DATE,the 1930s,,
date:the_1970s,DATE,the 1970s,,
date:the_1990s,DATE,the 1990s,,
org:florences_dante,ORG,Florence’s Dante,,
person:dante,PERSON,Dante,,
topic:palazzo_vecchio,Topic,Palazzo Vecchio,,
topic:occasion,Topic,occasion,,
topic:external_governing_council_monetary_policy_meeting,Topic,external Governing Council monetary policy meeting,,
topic:florence_speech,Topic,Florence Speech,,
topic:christine_lagarde,Topic,Christine Lagarde,,
doc:1,Document,Making supervision simpler: the role of supervisory guides,Making supervision simpler: the role of supervisory guides,2025-10-27
speech:1,Speech,Making supervision simpler: the role of supervisory guides,Making supervision simpler: the role of supervisory guides,2025-10-27
date:2025_10_27,Date,2025-10-27,,
person:frank_elderson,Person,Frank Elderson,,
loc:keynote,GPE,Keynote,,
org:the_executive_board,ORG,the Executive Board,,
org:the_supervisory_board,ORG,the Supervisory Board,,
date:27_october_2025,DATE,27 October 2025,,
person:florentine_renaissance,PERSON,Florentine Renaissance,,
person:albertis,PERSON,Alberti’s,,
org:santa_maria_novella,ORG,Santa Maria Novella,,
loc:santa_croce,GPE,Santa Croce,,
org:gothic,ORG,Gothic,,
org:renaissance,ORG,Renaissance,,
org:the_florentine_renaissance,ORG,The Florentine Renaissance,,
date:the_last_decade,DATE,the last decade,,
org:union,ORG,Union,,
date:july_20242,DATE,July 2024[2,,
org:the_european_banking_authoritys,ORG,the European Banking Authority’s,,
org:eba,ORG,EBA,,
org:guidelines_on_internal_governance,ORG,Guidelines on Internal Governance,,
date:2026,DATE,2026,,
org:the_court_of_justice,ORG,the Court of Justice,,
org:eu,ORG,EU,,
org:court,ORG,Court,,
org:the_administrative_board_of_review6,ORG,the Administrative Board of Review[6,,
org:the_court_of_justice7,ORG,the Court of Justice.[7],,
org:eba_guidelines,ORG,EBA Guidelines,,
org:the_supervisory_review_and_evaluation_process_srep,ORG,the Supervisory Review and Evaluation Process (SREP,,
date:2022,DATE,2022,,
date:multi_year,DATE,multi-year,,
org:prudential,ORG,prudential,,
date:109_days,DATE,109 days,,
date:2023_to_97_days,DATE,2023 to 97 days,,
date:2024,DATE,2024,,
date:as_little_as_61_days,DATE,as little as 61 days,,
org:the_governing_council,ORG,the Governing Council,,
date:the_end_of_2025,DATE,the end of 2025,,
org:the_european_commission,ORG,the European Commission,,
person:elderson,PERSON,Elderson,,
date:2023,DATE,2023,,
org:the_banking_union,ORG,the Banking Union,,
org:freshfields_bruckhaus_deringer,ORG,Freshfields Bruckhaus Deringer,,
org:the_institute_for_law_and_finance,ORG,the Institute for Law and Finance,,
org:goethe_university,ORG,Goethe University,,
org:the_center_for_financial_studies,ORG,the Center for Financial Studies,,
loc:frankfurt,GPE,Frankfurt,,
loc:main,GPE,Main,,
date:19_september,DATE,19 September,,
person:enria,PERSON,Enria,,
date:2025,DATE,2025,,
date:9_october,DATE,9 October,,
person:starling_insights,PERSON,Starling Insights,,
org:bank_of_england,ORG,Bank of England,,
org:bailey,ORG,Bailey &,,
org:fed,ORG,Fed,,
date:31_july,DATE,31 July,,
loc:washington_dc,GPE,Washington DC,,
date:12_june,DATE,12 June,,
org:crd,ORG,CRD,,
org:the_eba_regulation,ORG,the EBA Regulation,,
date:10242013,DATE,1024/2013,,
date:october_2013,DATE,October 2013,,
org:the_european_central_bank,ORG,the European Central Bank,,
org:the_single_supervisory,ORG,the Single Supervisory,,
date:2018,DATE,2018,,
date:the_years,DATE,the years,,
loc:imas,GPE,IMAS,,
date:next_years_srep,DATE,next year’s SREP,,
org:supervision_newsletter,ORG,Supervision Newsletter,,
date:14_may,DATE,14 May,,
loc:buch,GPE,Buch,,
date:11_march,DATE,11 March,,
org:donnery,ORG,Donnery,,
date:september,DATE,September,,
org:heimdall,ORG,Heimdall,,
topic:role,Topic,role,,
topic:supervisory_guides,Topic,supervisory guides,,
topic:keynote_speech,Topic,Keynote speech,,
topic:frank_elderson,Topic,Frank Elderson,,
topic:executive_board,Topic,Executive Board,,
doc:2,Document,Acceptance speech 2025 Pádraig Ó hUiginn Award,Acceptance speech 2025 Pádraig Ó hUiginn Award,2025-10-23
speech:2,Speech,Acceptance speech 2025 Pádraig Ó hUiginn Award,Acceptance speech 2025 Pádraig Ó hUiginn Award,2025-10-23
date:2025_10_23,Date,2025-10-23,,
person:philip_r_lane,Person,Philip R. Lane,,
org:padraig_o_huiginn_award_remarks,ORG,Pádraig Ó hUiginn Award Remarks,,
org:padraig_o_huiginn_award_acceptance,ORG,Pádraig Ó hUiginn Award Acceptance,,
org:padraig_o_huiginn_award_dublin,ORG,Pádraig Ó hUiginn Award Dublin,,
person:padraig_o_huiginn,PERSON,Pádraig Ó hUiginn,,
person:john_bruton,PERSON,John Bruton,,
person:catherine_day,PERSON,Catherine Day,,
person:michael_noonan,PERSON,Michael Noonan,,
org:dlt,ORG,DLT,,
loc:appia,GPE,Appia,,
org:eurosystem,ORG,Eurosystem,,
org:european_council,ORG,European Council,,
org:euro_summit,ORG,Euro Summit,,
loc:brussels,GPE,Brussels,,
person:lane,PERSON,Lane,,
loc:pr,GPE,P.R.,,
org:the_university_college_cork_economics_society_conference_cork,ORG,"the University College Cork Economics Society Conference, Cork",,
date:20_march,DATE,20 March,,
loc:lane,GPE,Lane,,
org:imf_finance_development_magazine,ORG,IMF Finance & Development Magazine,,
date:3_september,DATE,3 September,,
date:1_july,DATE,1 July,,
person:draghi,PERSON,Draghi,,
loc:lagarde,GPE,Lagarde,,
org:the_european_banking_congress,ORG,the European Banking Congress,,
date:17_november,DATE,17 November,,
date:17_june,DATE,17 June,,
org:business_france,ORG,Business France,,
loc:paris,GPE,Paris,,
date:7_october,DATE,7 October,,
org:the_asset_holdings_of_euro_area_households,ORG,The Asset Holdings of Euro Area Households,,
org:the_irish_association_of_investment_managers,ORG,the Irish Association of Investment Managers,,
loc:dublin,GPE,Dublin,,
org:the_government_borrowers_forum,ORG,the Government Borrowers Forum,,
date:11_june,DATE,11 June,,
