start_id,end_id,type
doc:0,speech:0,same_as
doc:0,person:remarks_remarks,mentions
doc:0,date:october_2025,mentions
doc:0,org:european_central_bank,mentions
doc:0,org:european_central_bank,mentions
doc:0,org:padraig_o_huiginn,mentions
speech:0,date:2025_10_29,held_on
speech:0,topic:palazzo_vecchio_speech_remarks_remarks,discusses
speech:0,topic:29_october,discusses
speech:0,topic:pleasure,discusses
speech:0,topic:ecb,discusses
speech:0,topic:european_central_bank,discusses
person:christine_lagarde,speech:0,delivered
person:christine_lagarde,topic:palazzo_vecchio_speech_remarks_remarks,covers
person:christine_lagarde,topic:29_october,covers
person:christine_lagarde,topic:pleasure,covers
person:christine_lagarde,topic:ecb,covers
person:christine_lagarde,topic:european_central_bank,covers
doc:1,speech:1,same_as
doc:1,org:european_central_bank,mentions
doc:1,org:the_european_central_bank,mentions
speech:1,date:2024_05_12,held_on
speech:1,topic:ecbs_policy,discusses
speech:1,topic:european_central_bank,discusses
speech:1,topic:action_europeans_people,discusses
person:john_doe,speech:1,delivered
person:john_doe,topic:ecbs_policy,covers
person:john_doe,topic:european_central_bank,covers
person:john_doe,topic:action_europeans_people,covers
